№ п/п,Дата обнародования информации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации об отмене решения о признании деятельности организации нежелательной на территории Российской Федерации,Дата распоряжения Минюста России о включении в перечень,Дата распоряжения Минюста России об исключении из перечня,Наименование организации,Номер распоряжения Минюста России о включении в перечень,Номер распоряжения Минюста России об исключении из перечня,Статус
182,,31.07.2024,,14.08.2024,,"Konrad-Adenauer-Stiftung e.V. («Конрад-Аденауэр-Штифтунг е.Ф.», «Фонд имени Конрада Аденауэра», «Зарегистрированное некоммерческое объединение «Фонд им. Конрада Аденауэра») (Германия)",1010-р,,Включена
183,,30.07.2024,,14.08.2024,,"Kulturus, z. s. («Культурус») (Чешская Республика)",1011-р,,Включена
184,,30.07.2024,,14.08.2024,,MRR-Fund gemeinnützige UG (haftungsbeschränkt) («Фонд MRR») (ФРГ),1012-р,,Включена
185,,30.07.2024,,14.08.2024,,Russland hinter gittern e.V. («Россия  за решеткой») (ФРГ),1013-р,,Включена
186,,30.07.2024,,14.08.2024,,"Za vaši a naši svobodu, z. s. («За вашу  и нашу свободу») (Чешская Республика)",1014-р,,Включена
187,,13.08.2024,,27.08.2024,,«Депутаты Мирной России» (ФРГ),1068-р,,Включена
188,,14.08.2024,,27.08.2024,,"Clooney Foundation for Justice («Фонд Клуни за справедливость»), США",1069-р,,Включена
189,,11.09.2024,,01.10.2024,,"Belsat (Belsat TV, Belarusian Satellite) «Белсат» («Белсат ТВ», «Белорусское спутниковое»), Республика Польша",1227-р,,Включена
190,,18.09.2024,,04.10.2024,,"Благодiйна органiзацiя «Фонд 24.02» (Фонд 24.02, Charitable organization «Fund 24.02», Fund 24.02, Благотворительная организация «Фонд 24.02») (Украина)",1241-р,,Включена
191,,07.10.2024,,30.10.2024,,"Media in Cooperation and Transition gGmbH (MiCT) («Средства массовой информации в сотрудничестве и трансформации»), ФРГ",1370-р,,Включена
192,,30.10.2024,,14.11.2024,,"Internationale Assoziation  für Intellektuelle Spiele (IAIS, «Международная ассоциация интеллектуальных игр», МАИИ) (Княжество Лихтенштейн)",1439-р,,Включена
193,,30.10.2024,,14.11.2024,,"Young Presidents Organization  (YPO, «Организация молодых президентов») (США)",1440-р,,Включена
194,,06.11.2024,,20.11.2024,,"«Центр iнформацiï про права людини» («Центр информации о правах человека»), другое используемое наименование: «Центр прав людини ZMINA» («Центр прав человека ЗМИНА») (Украина)",1457-р,,Включена
195,20.12.2024,29.11.2024,,19.12.2024,,"The Satanic Temple («Сатанинский храм», «Храм сатаны»), США",1640-р,,Включена
196,10.01.2025,16.12.2024,,09.01.2025,,Recorded Future («Записанное будущее») (США),1-р,,Включена
197,10.01.2025,17.12.2024,,10.01.2025,,"Canadian Center for Development of Democracy in Russia (Canadian Centre for Development of Democracy in Russia, «Канадский центр по развитию демократии в России», «КЦРД») (Канада)",3-р,,Включена
198,17.01.2025,16.12.2024,,17.01.2025,,"Commission on Security and Cooperation in Europe (U.S. Helsinki Commission, CSCE, «Комиссия по безопасности и сотрудничеству  в Европе», «Хельсинкская комиссия США»), США",29-р,,Включена
199,17.01.2025,20.12.2024,,17.01.2025,,Help Heroes Of Ukraine («Помоги героям Украины») (США),30-р,,Включена
200,17.01.2025,25.12.2024,,17.01.2025,,"International Religious Freedom or Belief Alliance (IRFBA, «Международный альянс за свободу вероисповедания»), США",31-р,,Включена
201,31.01.2025,09.01.2025,,30.01.2025,,OpenText Corporation («Корпорация Открытый текст») (Канада),105-р,,Включена
202,31.01.2025,20.01.2025,,30.01.2025,,"Independent Institute of Philosophy (Institut de philosophie indépendant) («Независимый институт философии»), Франция",106-р,,Включена
203,31.01.2025,25.12.2024,,30.01.2025,,"Journalists in Need Network (JINN gGmbH, «Сеть журналистов  в бедственном положении»), Федеративная Республика Германия",107-р,,Включена
204,31.01.2025,09.01.2025,,30.01.2025,,Compelson s.r.o. («Компелсон») (Чешская Республика),108-р,,Включена
205,07.02.2025,22.01.2025,,07.02.2025,,"Register of Damage Caused by the Aggression of the Russian Federation against Ukraine («Реестр ущерба, нанесенного агрессией Российской Федерации против Украины») (Королевство Нидерландов)",159-р,,Включена
206,19.02.2025,04.02.2025,,18.02.2025,,The Independent Barents Observer AS («Независимый Баренц Обозреватель») (Королевство Норвегия),200-р,,Включена
207,04.03.2025,07.02.2025,,03.03.2025,,Associaão de russos livres («Ассоциация свободных россиян») (Португальская Республика),260-р,,Включена
208,06.03.2025,19.02.2025,,05.03.2025,,"Руско демократско друштво (Russian Democratic Society, «Российское демократическое общество», «РДО») (Республика Сербия)",271-р,,Включена
209,17.03.2025,24.02.2025,,17.03.2025,,"Alliance of Liberals and Democrats for Europe Party, сокращенное наименование ALDE Party («Партия «Альянс демократов и либералов  за Европу», «Партия «АЛДЕ») (Бельгия)",326-р,,Включена
210,17.03.2025,24.02.2025,,17.03.2025,,"European Liberal Youth (LYMEC, «Европейская либеральная молодежь») (Бельгия)",327-р,,Включена
211,25.03.2025,05.03.2025,,24.03.2025,,"Rasmussen Global (Rasmussen Global Consulting, «Расмуссен Глобал», «Расмуссен Глобал Консалтинг»), Королевство Дания.",362-р,,Включена
212,25.03.2025,26.02.2025,,24.03.2025,,«Ассоциация развития русского гражданского общества  и поддержки российских эмигрантов» («АРЭМ») (Латвийская Республика),363-р,,Включена
213,28.03.2025,05.03.2025,,26.03.2025,,"Pour lʼUkraine, pour leur liberté et la nôtre!  («За Украину, за их и за нашу свободу!») (Французская Республика)",378-р,,Включена
214,03.04.2025,10.03.2025,,01.04.2025,,The European Leadership Network («Европейская сеть лидеров»),412-р,,Включена
215,03.04.2025,05.03.2025,,01.04.2025,,"Deutsche Gesellschaft für Auswärtige Politik e.V. («Германское общество внешней политики»), ФРГ",413-р,,Включена
216,15.04.2025,21.03.2025,,14.04.2025,,"Elton John AIDS Foundation («Фонд Элтона Джона  по борьбе со СПИДом»), Великобритания",465-р,,Включена
217,15.04.2025,21.03.2025,,14.04.2025,,"Justice for Journalists Foundation (Фонд «Справедливость  для журналистов»), Великобритания",466-р,,Включена
218,15.04.2025,21.03.2025,,14.04.2025,,"Elton John AIDS Foundation («Фонд Элтона Джона по борьбе  со СПИДом»), США",467-р,,Включена
219,21.04.2025,21.03.2025,,18.04.2025,,"Hanns-Seidel-Stiftung e.V. (HSS, «Фонд имени Ханнса Зайделя», «ФХЗ») (ФРГ)",528-р,,Включена
220,21.04.2025,03.04.2025,,18.04.2025,,«Ассоциация по вопросам северных территорий» (Япония),529-р,,Включена
221,24.04.2025,31.03.2025,,22.04.2025,,"«Hope Harbor Society» (Общество «Гавань надежды»), США",541-р,,Включена
222,12.05.2025,10.04.2025,,07.05.2025,,"Comunità dei Russi Liberi in Italia (Comunità dei Russi Liberi, «Сообщество свободных россиян Италии») (Итальянская Республика)",598-р,,Включена
223,15.05.2025,11.04.2025,,14.05.2025,,International Indigenous Fund for Development and Solidarity Batani («Международный фонд развития и солидарности коренных народов Батани») (США),609-р,,Включена
224,22.05.2025,11.04.2025,,22.05.2025,,"Sdružení investigativních novinářů – Fond 19/29, z.s. («Содружество журналистов-расследователей – Фонд 19/29») (Чешская Республика)",656-р,,Включена
225,22.05.2025,21.04.2025,,22.05.2025,,"Stowarzyszenie Wspólnota Polska (Ассоциация «Вспульнота Польска»), Республика Польша",657-р,,Включена
226,29.05.2025,12.05.2025,,28.05.2025,,"Amnesty International Ltd (AMNESTY INTERNATIONAL LIMITED) («Международная Амнистия Лимитед», «МЕЖДУНАРОДНАЯ АМНИСТИЯ ЛИМИТЕД»), Великобритания",691-р,,Включена
227,29.05.2025,12.05.2025,,28.05.2025,,"Eurasian Coalition on Health, Rights, Gender and Sexual Diversity («Евразийская коалиция по здоровью, правам, гендерному и сексуальному многообразию»), Эстонская Республика",692-р,,Включена
228,02.06.2025,29.04.2025,,02.06.2025,,Brigham Young University («Университет Бригама Янга») (США),717-р,,Включена
229,02.06.2025,29.04.2025,,02.06.2025,,"Körber-Stiftung («Фонд Кёрбера»), ФРГ",718-р,,Включена
230,05.06.2025,12.05.2025,,03.06.2025,,"Association for Slavic, East European and Eurasian Studies («Ассоциация славянских, восточноевропейских и евразийских исследований»), США",719-р,,Включена
231,05.06.2025,12.05.2025,,03.06.2025,,Radio Echo GmbH («Радио Эхо») (ФРГ),720-р,,Включена
232,05.06.2025,12.05.2025,,03.06.2025,,"ASSOCIATION INSTITUT FÜR DIE WISSENSCHAFTEN VOM MENSCHEN (IWM) (АССОЦИАЦИЯ «ИНСТИТУТ ГУМАНИТАРНЫХ НАУК», ИГН, «Институт наук о человеке»), Австрия",721-р,,Включена
233,11.06.2025,12.05.2025,,11.06.2025,,"No war  («Нет войне», «Антивоенное движение No war»), Монголия",758-р,,Включена
234,11.06.2025,26.05.2025,,11.06.2025,,"The British Council («Британский Совет»), Великобритания",759-р,,Включена
235,23.06.2025,30.05.2025,,19.06.2025,,"Global Network of Sex Work Projects («Глобальная сеть проектов по секс-работе»), Великобритания",779-р,,Включена
236,23.06.2025,30.05.2025,,19.06.2025,,"«Демократическое сообщество россиян на Кипре» («ДСРК»), Республика Кипр",780-р,,Включена
237,25.06.2025,09.06.2025,,24.06.2025,,"Razom for Ukraine (Razom Inc, «Разом для Украины», «Вместе  для Украины», Корпорация «Вместе»), США",813-р,,Включена
238,25.06.2025,03.06.2025,,24.06.2025,,"Sex Worker`s Rights Advocacy Network («Сеть по защите прав  секс-работников»), Венгрия",814-р,,Включена
239,04.07.2025,16.06.2025,,02.07.2025,,"Eurasian Harm Reduction Association («Евразийская ассоциация снижения вреда»), Литовская республика",856-р,,Включена
240,04.07.2025,11.06.2025,,02.07.2025,,"European Resilience Initiative Centre (ERIC, «Европейский инициативный центр устойчивости», «Центр европейской инициативы  по устойчивости») (ФРГ)",857-р,,Включена
241,11.07.2025,24.06.2025,,11.07.2025,,"«Норвежский Хельсинкский комитет» (Den Norske Helsingforskomité), Королевство Норвегия",902-р,,Включена
242,11.07.2025,23.06.2025,,11.07.2025,,"Yale University («Йельский Университет»), США",903-р,,Включена
243,11.07.2025,23.06.2025,,11.07.2025,,"«Благодійний фонд «Армія SOS» («Благотворительный фонд «Армия СОС», Army SOS), Украина",904-р,,Включена
244,24.07.2025,01.07.2025,,22.07.2025,,"«Гражданское сетевое движение «Мир. Прогресс. Права человека» («Гражданское сетевое (общественное, демократическое) движение «Мир. Прогресс. Права человека»)",963-р,,Включена
245,24.07.2025,01.07.2025,,22.07.2025,,"Institut Andrei Sakharov (L'Institut Andrei Sakharov, «Институт Андрея Сахарова», «Институт имени Андрея Сахарова») (Франция)",964-р,,Включена
246,04.08.2025,04.07.2025,,01.08.2025,,"«Фонд Роберта Карра для сетей гражданского общества» (Robert Carr Fund For Civil Society Networks), Нидерланды",1015-р,,Включена
247,04.08.2025,04.07.2025,,04.08.2025,,"«East View Information Services Inc.», США",1016-р,,Включена
248,04.08.2025,04.07.2025,,04.08.2025,,"Netzwerk für Osteuropa-Berichterstattung – n-ost e.V.  («Журналистская сеть по освещению событий в Восточной Европе»), Федеративная Республика Германия",1017-р,,Включена
249,04.08.2025,15.07.2025,,04.08.2025,,"Rosa-Luxemburg-Stiftung Gesellschaftsanalyse und politische Bildung e.V. («Фонд имени Розы Люксембург», «Фонд социального анализа и политического образования имени Розы Люксембург»), ФРГ",1018-р,,Включена
250,07.08.2025,16.07.2025,,07.08.2025,,"International House World Organisation («Всемирная организация ""Международный дом""»), Великобритания",1035-р,,Включена
251,07.08.2025,21.07.2025,,07.08.2025,,"«UnMode – community Movement  for Access to Justice» (UNMODE, «Анмуд – общественное движение  за доступность правосудия») (Грузия)",1036-р,,Включена
252,12.08.2025,25.07.2025,,11.08.2025,,"Helsińska Fundacja Praw Człowieka (Helsinki Foundation for Human Rights, «Хельсинский Фонд по Правам Человека»), Польша",1048-р,,Включена
253,14.08.2025,25.07.2025,,14.08.2025,,Group 36 («Группа 36») (США),1065-р,,Включена
254,14.08.2025,23.07.2025,,14.08.2025,,"Reporters sans Frontières (RSF), («Репортеры без границ»), Франция",1066-р,,Включена
255,21.08.2025,01.08.2025,,18.08.2025,,"Stiftung Erinnerung, Verantwortung und Zukunft e.V (EVZ, Фонд «Память, ответственность и будущее»), Германия",1087-р,,Включена
256,21.08.2025,30.07.2025,,18.08.2025,,"Zimin Foundation («Фонд Зимина»), Великобритания",1088-р,,Включена
257,21.08.2025,01.08.2025,,18.08.2025,,"Stichting Nederlands Helsinki Comité («Фонд Нидерландского Хельсинкского Комитета», «Нидерландский Хельсинкский Комитет»), Королевство Нидерландов",1089-р,,Включена
258,21.08.2025,06.08.2025,,21.08.2025,,Demokrati-JA e.V. (Германия),1099-р,,Включена
259,27.08.2025,06.08.2025,,26.08.2025,,ProtectDefenders.eu («Защити защитников.ЕС») (Королевство Бельгия),1118-р,,Включена
260,27.08.2025,06.08.2025,,26.08.2025,,Civic Solidarity Platform («Платформа гражданской солидарности»),1119-р,,Включена
261,05.09.2025,13.08.2025,,04.09.2025,,"Human Rights Funders Network  (HRFN, «Сеть спонсоров прав человека») (США)",1162-р,,Включена
262,05.09.2025,08.08.2025,,04.09.2025,,"«Королевский объединенный институт оборонных исследований»  (The Royal United Services Institute for Defence and Security Studies, RUSI), Великобритания",1163-р,,Включена
263,05.09.2025,15.08.2025,,04.09.2025,,"International Baccalaureate  («Международный бакалавриат»), Швейцария",1164-р,,Включена
264,17.09.2025,15.08.2025,,16.09.2025,,"Friede Allen e.V. («Мир Всем»), Германия",1208-р,,Включена
265,26.09.2025,09.09.2025,,25.09.2025,,"AFS Intercultural Programs Inc («Межкультурные программы АФС»), США",1265-р,,Включена
266,03.10.2025,09.09.2025,,01.10.2025,,"Initiative for Resistance and Dialogues (Initiative FoReDi ry, «Инициатива по сопротивлению и диалогу»), Финляндская Республика",1292-р,,Включена
267,03.10.2025,08.09.2025,,01.10.2025,,"Eurasian Network of People who use drugs (ENPUD, «Евразийская Сеть Людей, употребляющих наркотики», ЕСЛУН), Грузия",1293-р,,Включена
268,03.10.2025,17.09.2025,,02.10.2025,,"Bart Marsho (Bart-Marsho, «Барт Маршо», «Барт-Маршо», «Единство и Свобода»), Французская Республика",1295-р,,Включена
269,03.10.2025,17.09.2025,,02.10.2025,,"Assemblee des Tchétchènes ďEurope (The Assembly of Chechens of Europe, «Ассамблея чеченцев Европы»), Французская Республика",1296-р,,Включена
270,10.10.2025,16.09.2025,,08.10.2025,,"CORRECTIV – Recherchen für die Gesellschaft gemeinnützige GmbH («КОРРЕКТИВ» – расследования для общества»), ФРГ",1327-р,,Включена
271,31.10.2025,17.10.2025,,30.10.2025,,"The International Center for Journalists (ICFJ, «Международный центр для журналистов»), (США)",1436-р,,Включена
272,31.10.2025,16.10.2025,,30.10.2025,,"Truth Hounds («Трус Хаундс»), (Украина)",1437-р,,Включена
273,31.10.2025,17.10.2025,,30.10.2025,,"Ideas  for Change («Идеи для перемен»), (Украина)",1438-р,,Включена
274,31.10.2025,17.10.2025,,30.10.2025,,"JX Fund gGmbH («Европейский фонд журналистики в изгнании»), (ФРГ)",1439-р,,Включена
275,10.11.2025,24.10.2025,,07.11.2025,,"The Nordic Council of Ministers («Совет министров Северных стран», «Северный Совет Министров»), Королевство Дания",1475-р,,Включена
276,14.11.2025,01.11.2025,,13.11.2025,,"Equal Rights Trust (ERT, «Фонд равных прав», «Ассоциация равных прав»), Великобритания",1487-р,,Включена
277,26.11.2025,10.11.2025,,24.11.2025,,"Free Peoples of Russia House («Дом народов свободной России»), США",1541-р,,Включена
278,26.11.2025,07.11.2025,,24.11.2025,,"Organized Crime and Corruption Reporting Project («Центр по исследованию коррупции и организованной преступности»), Королевство Нидерланды",1542-р,,Включена
279,28.11.2025,10.11.2025,,28.11.2025,,"Human Rights Watch, Inc. («Защита прав человека»), США",1564-р,,Включена
280,28.11.2025,13.11.2025,,28.11.2025,,"GSC Game World («ГСК Игровой мир»), (Украина)",1565-р,,Включена
281,02.12.2025,13.11.2025,,01.12.2025,,"Fédération internationale pour les droits humains («Международная федерация за права человека»), Французская Республика",1587-р,,Включена
282,05.12.2025,19.11.2025,,02.12.2025,,"Громадська органiзацiя «Харкiвська правозахисна група» (Kharkiv Human Rights Protection Group, KHPG, «Харьковская правозащитная группа», ХПГ), Украина",1589-р,,Включена
283,05.12.2025,19.11.2025,,04.12.2025,,"«Тюркский фронт возрождения», Турецкая Республика",1596-р,,Включена
284,05.12.2025,24.11.2025,,04.12.2025,,"IMKANDER («Ассоциация защиты человека и братства Imkander», «Общество защиты человека и братства»), Турецкая Республика",1597-р,,Включена
285,05.12.2025,21.11.2025,,04.12.2025,,Fundacja Wsparcia Rady Obywatelskiej («Фонд поддержки Гражданского Совета») Республика Польша,1598-р,,Включена
286,16.12.2025,01.12.2025,,15.12.2025,,"Allianz für ein freiheitlich-demokratisches Russland e.V. («Альянс за свободную демократическую Россию»), ФРГ",1656-р,,Включена
287,16.12.2025,02.12.2025,,15.12.2025,,"Natur og Ungdom («Природа и молодежь»), Королевство Норвегия",1657-р,,Включена
288,16.12.2025,01.12.2025,,15.12.2025,,"For Free Russia («За свободную Россию»), Республика Болгария",1658-р,,Включена
289,16.12.2025,01.12.2025,,15.12.2025,,"MTÜ Ingeri Marja («Дом Ингрии»), Эстонская Республика",1659-р,,Включена
290,16.12.2025,01.12.2025,,15.12.2025,,"медиакорпорация Deutsche Welle («Немецкая волна»), Федеративная Республика Германия",1660-р,,Включена
291,22.12.2025,02.12.2025,,18.12.2025,,"Stichting Justice Initiative (SJI, Фонд «Правовая инициатива»), Нидерланды",1681-р,,Включена
292,30.12.2025,16.12.2025,,29.12.2025,,Rubikus e.V. («Зарегистрированное объединение «Рубикус») (ФРГ),1747-р,,Включена
293,30.12.2025,16.12.2025,,29.12.2025,,"«Русскоязычные демократки и демократы» (Russischsprachige Demokratinnen und Demokraten e.V.), ФРГ",1748-р,,Включена
294,30.12.2025,16.12.2025,,29.12.2025,,"MB Action4life LT («Действие ради жизни»), Литовская Республика",1749-р,,Включена
295,30.12.2025,17.11.2025,,29.12.2025,,"Nordic Ukraine Forum (NUF, объединение «Северный Украинский Форум»), Королевство Швеция",1750-р,,Включена
296,30.12.2025,15.12.2025,,29.12.2025,,LexCollective (США),1751-р,,Включена
297,13.01.2026,18.12.2025,,12.01.2026,,"OAK Foundation LTD, Швейцарская Конфедерация",1-р,,Включена
298,13.01.2026,17.12.2025,,12.01.2026,,"MTÜ SupportNet, Эстония",2-р,,Включена
299,13.01.2026,17.12.2025,,12.01.2026,,"Casimir Pulaski Foundation («Фонд им. Казимира Пулаского»), Республика Польша",3-р,,Включена
300,13.01.2026,17.12.2025,,12.01.2026,,"Fundacja im. Stefana Batorego («Фонд им. Стефана Батория»), Республика Польша",4-р,,Включена
301,13.01.2026,17.12.2025,,12.01.2026,,"Trial International («Международная ассоциация по борьбе  с безнаказанностью ТРИАЛ»), Швейцария",5-р,,Включена
302,13.01.2026,17.12.2025,,12.01.2026,,"Institute for Global Reconstitution (IGRec, «Институт глобального восстановления»), ФРГ",6-р,,Включена
303,13.01.2026,17.12.2025,,12.01.2026,,"Fundacją Samogłoska (Фонд «Самоглоска»), Республика Польша",7-р,,Включена
304,13.01.2026,16.12.2025,,12.01.2026,,"Fundacja Wolnosc i Demokracja (Фонд «Свобода  и Демократия»), Республика Польша",8-р,,Включена
305,21.01.2026,24.12.2025,,19.01.2026,,"The International Lesbian, Gay, Bisexual, Trans and Intersex Association (ILGA World, «Международная ассоциация лесбиянок, геев, бисексуалов, трансгендеров и интерсексуалов»), Швейцарская Конфедерация",40-р,,Включена
306,21.01.2026,22.12.2025,,19.01.2026,,"Stichting B4Ukraine Foundation (B4Ukraine), Королевство Нидерландов",41-р,,Включена
307,21.01.2026,22.12.2025,,19.01.2026,,"MTÜ «SAB UA» (MTÜ «Support Ukrainian Army»), Эстонская Республика",42-р,,Включена
308,21.01.2026,24.12.2025,,19.01.2026,,"The George Washington university («Университет Джорджа Вашингтона»), США",43-р,,Включена
309,21.01.2026,24.12.2025,,19.01.2026,,"The Lemkin Institute for Genocide Prevention, Inc («Институт Лемкина для предотвращения геноцида»), США",44-р,,Включена
310,21.01.2026,22.12.2025,,19.01.2026,,"RUHelp («РУХелп», Великое Герцогство Люксембург)",45-р,,Включена
311,21.01.2026,22.12.2025,,19.01.2026,,"Artec 3D (Artec Europe S.A.R.L., «Артек 3Д», ООО «Артек Европа», Великое Герцогство Люксембург)",46-р,,Включена
312,21.01.2026,25.12.2025,,19.01.2026,,"Centre for Peacebuilding and Community Development (Peacebuilding UK, «Миростроительство в Великобритании», «Центр миротворчества  и развития общин»), Соединенное Королевство Великобритании  и Северной Ирландии",47-р,,Включена
313,21.01.2026,22.12.2025,,19.01.2026,,"Human Rights First («Права человека прежде всего»), США",48-р,,Включена
