№ п/п,Дата обнародования информации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации о признании деятельности организации нежелательной на территории Российской Федерации,Дата принятия решения Генеральной прокуратурой Российской Федерации об отмене решения о признании деятельности организации нежелательной на территории Российской Федерации,Дата распоряжения Минюста России о включении в перечень,Дата распоряжения Минюста России об исключении из перечня,Наименование организации,Номер распоряжения Минюста России о включении в перечень,Номер распоряжения Минюста России об исключении из перечня,Статус
43,,23.08.2021,,30.08.2021,,Духовне Управлiння Євангельських Християн Української Християнської Церкви «Нове Поколiння» (Духовное Управление Евангельских Христиан Украинской Христианской Церкви «Новое Поколение») (Украина),968-р,,Включена
44,,23.08.2021,,30.08.2021,,Evaņgēlisko kristiešu baznīca «Jaunā Paaudze» (Евангельская христианская церковь «Новое Поколение») (Латвийская Республика),969-р,,Включена
45,,23.08.2021,,30.08.2021,,Духовний Навчальний Заклад Міжнародний Біблійний Коледж «Нове Покоління» (Духовное Учебное Заведение Международный Библейский Колледж «Новое Поколение») (Украина),970-р,,Включена
46,,23.08.2021,,30.08.2021,,Международное христианское движение «Новое поколение» (Латвийская Республика),971-р,,Включена
47,,24.09.2021,,01.10.2021,,"WORLD INSTITUTE OF SCIENTOLOGY ENTERPRISES INTERNATIONAL (World Institute of Scientology Enterprises International, WISE Int., «Всемирный Институт Саентологических Предприятий») (США)",1126-р,,Включена
48,,24.09.2021,,01.10.2021,,"CHURCH OF SPIRITUAL TECHNOLOGY (Church of Spiritual Technology, CST, «Церковь Духовной Технологии», использующая также наименование «L. Ron Hubbard Library» («Библиотека Л. Рона Хаббарда») (США)",1127-р,,Включена
49,,27.09.2021,,01.10.2021,,European Network of Election Monitoring Organizations (ENEMO) («Европейская сеть организаций по наблюдению за выборами»),1128-р,,Включена
50,,25.01.2022,,04.02.2022,,"WOT Foundation («ВОТ ФОНД»), Республика Польша",109-р,,Включена
51,,16.02.2022,,28.02.2022,,"«ГРОМАДСЬКА ОРГАНI3АЦIЯ «ВIЛЬНИЙ IДЕЛЬ-УРАЛ» (ГО «IДЕЛЬ») («СВОБОДНЫЙ ИДЕЛЬ-УРАЛ», «Свободный Идель-Урал») (Украина)",185-р,,Включена
52,,22.02.2022,,05.03.2022,,"Journalism Development Network INC («Ассоциация развития журналистики», JDN), США",225-р,,Включена
53,,22.02.2022,,05.03.2022,,"IStories fonds, Латвийская Республика",226-р,,Включена
54,,07.04.2022,,13.04.2022,,"The Royal Institute of International Affairs (Chatham House, «Королевский Институт Международных Отношений») (Великобритания)",448-р,,Включена
55,,04.05.2022,,13.05.2022,,"«ГРОМАДСЬКА ОРГАНIЗАЦIЯ «КРИМСЬКА ПРАВОЗАХИСНА ГРУПА» (CRIMEAN HUMAN RIGHT, «КРЫМСКАЯ ПРАВОЗАЩИТНАЯ ГРУППА») (Украина)",596-р,,Включена
56,,20.05.2022,,31.05.2022,,"Heinrich-Böll-Stiftung e.V. (Heinrich Böll Stiftung, «Фонд имени Генриха Бёлля») (Германия)",679-р,,Включена
57,,13.07.2022,,26.07.2022,,Stichting Bellingcat (Нидерланды),951-р,,Включена
58,,13.07.2022,,26.07.2022,,Bellingcat Ltd. (Великобритания),952-р,,Включена
59,,13.07.2022,,26.07.2022,,The Insider (Латвия),953-р,,Включена
60,,13.07.2022,,26.07.2022,,«Институт правовой инициативы Центральной и Восточной Европы» (CEELI Institute) (Чехия),954-р,,Включена
61,,19.07.2022,,29.07.2022,,"«Фонд Открытой Эстонии» (Avatud Eesti Fond SA, Open Estonia Foundation) Эстонская Республика",984-р,,Включена
62,,29.07.2022,,12.08.2022,,"Calvert 22 Foundation, Великобритания",1042-р,,Включена
63,,04.08.2022,,19.08.2022,,"«Канадский украинский конгресс», «Конгресс украинцев Канады» (Ukrainian Canadian Congress), Канада",1089-р,,Включена
64,,04.08.2022,,19.08.2022,,"«Институт Макдональда-Лорье» (Macdonald-Laurier Institute), Канада",1090-р,,Включена
65,,04.08.2022,,19.08.2022,,"«Украинская национальная федерация Канады» (Ukrainian National Federation of Canada), Канада",1091-р,,Включена
66,,12.10.2022,,25.10.2022,,Dekabristen e.V. («Декабристы») (Германия),1437-р,,Включена
67,,10.11.2022,,25.11.2022,,"Международный научный центр им. Вудро Вильсона (Woodrow Wilson International Center for Scholars), США",1594-р,,Включена
68,,11.11.2022,,25.11.2022,,"«Свободная пресса» (Open Press), Французская Республика",1595-р,,Включена
69,,16.11.2022,,25.11.2022,,«БЛАГОДIЙНИЙ ФОНД «ВIДРОДЖЕННЯ» ВОЛОДИМИРА МУНТЯНА» («Благотворительный фонд «Возрождение» Владимира Мунтяна») (Украина),1596-р,,Включена
70,,16.11.2022,,25.11.2022,,«РЕЛIГIЙНА ОРГАНIЗАЦIЯ «ВСЕУКРАIНСЬКИЙ ДУХОВНИЙ ЦЕНТР «ВIДРОДЖЕННЯ» («Религиозная организация «Всеукраинский духовный центр «Возрождение») (Украина),1597-р,,Включена
71,,25.11.2022,,13.12.2022,,"Riddle (аналитический Центр «Риддл»), Литовская Республика",1698-р,,Включена
72,,20.12.2022,,10.01.2023,,"Ryska Antikrigskommitteten i Sverige («Русский антивоенный комитет в Швеции»), Швеция",1-р,,Включена
